price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb
10995.0,2008.0,ford,edge,excellent,6 cylinders,gas,99428.0,clean,automatic,4wd,full-size,SUV,silver,32345.0,24.0,3.8 / 5,2020.0
21000.0,2011.0,chevrolet,tahoe,excellent,8 cylinders,gas,153508.0,clean,automatic,4wd,full-size,SUV,brown,50295.0,18.0,4.7 / 5,2021.0
12995.0,2010.0,chevrolet,traverse,excellent,6 cylinders,gas,95986.0,clean,automatic,4wd,full-size,SUV,red,30995.0,21.0,4.3 / 5,2021.0
15995.0,2010.0,acura,mdx,good,6 cylinders,gas,91085.0,clean,automatic,4wd,full-size,SUV,silver,45525.0,23.0,4.6 / 5,2020.0
11995.0,2008.0,acura,mdx,good,6 cylinders,gas,120264.0,clean,automatic,4wd,full-size,SUV,grey,45525.0,23.0,4.6 / 5,2020.0
0.0,2006.0,ford,explorer,good,6 cylinders,gas,150033.0,clean,automatic,rwd,full-size,SUV,blue,33470.0,24.0,4.1 / 5,2021.0
15995.0,2011.0,audi,q5,good,4 cylinders,gas,94906.0,clean,automatic,4wd,full-size,SUV,white,44395.0,25.0,4.7 / 5,2021.0
14995.0,2006.0,honda,pilot,good,6 cylinders,gas,45790.0,clean,automatic,4wd,full-size,SUV,blue,33370.0,23.0,4.6 / 5,2021.0
8995.0,2002.0,chevrolet,suburban,good,8 cylinders,gas,148187.0,clean,automatic,4wd,full-size,SUV,custom,52995.0,18.0,4.6 / 5,2021.0
1450.0,2004.0,ford,taurus,good,6 cylinders,gas,150000.0,clean,automatic,fwd,mid-size,sedan,black,28895.0,21.0,3.1 / 5,2019.0
1200.0,2011.0,chevrolet,malibu,good,4 cylinders,gas,89603.0,clean,automatic,fwd,mid-size,sedan,blue,22970.0,32.0,4.1 / 5,2020.0
16495.0,2016.0,honda,cr-v,excellent,4 cylinders,gas,61930.0,clean,automatic,4wd,full-size,SUV,black,26470.0,30.0,4.7 / 5,2021.0
2850.0,2000.0,dodge,durango,good,8 cylinders,gas,215650.0,clean,manual,4wd,mid-size,pickup,blue,33260.0,21.0,3.1 / 5,2021.0
5995.0,2014.0,kia,soul,good,4 cylinders,gas,125000.0,clean,automatic,fwd,compact,hatchback,brown,18610.0,27.0,4.6 / 5,2021.0
4995.0,2001.0,chevrolet,tahoe,good,8 cylinders,gas,217777.0,clean,automatic,4wd,full-size,SUV,white,50295.0,18.0,4.7 / 5,2021.0
25995.0,2012.0,dodge,challenger,excellent,8 cylinders,gas,67217.0,clean,automatic,rwd,mid-size,coupe,black,29590.0,23.0,4.0 / 5,2020.0
13995.0,2011.0,dodge,charger,excellent,8 cylinders,gas,102336.0,clean,automatic,rwd,full-size,sedan,black,31490.0,23.0,3.6 / 5,2021.0
5800.0,2010.0,volvo,xc90,good,6 cylinders,gas,141000.0,clean,automatic,4wd,full-size,SUV,silver,52445.0,26.0,4.3 / 5,2020.0
6250.0,2009.0,subaru,forester,like new,4 cylinders,gas,114423.0,clean,automatic,4wd,full-size,SUV,silver,25845.0,29.0,4.5 / 5,2021.0
10800.0,2013.0,honda,odyssey,excellent,6 cylinders,gas,142679.0,clean,automatic,fwd,full-size,mini-van,white,32910.0,22.0,4.7 / 5,2021.0
4980.0,2007.0,ford,edge,excellent,6 cylinders,gas,164323.0,clean,automatic,4wd,mid-size,SUV,black,32345.0,24.0,3.8 / 5,2020.0
5900.0,2008.0,subaru,impreza,excellent,4 cylinders,gas,109000.0,clean,automatic,4wd,compact,sedan,silver,19720.0,26.0,4.2 / 5,2021.0
3900.0,2002.0,honda,civic,excellent,4 cylinders,gas,116000.0,clean,automatic,fwd,compact,sedan,brown,22005.0,33.0,4.6 / 5,2021.0
3950.0,2006.0,nissan,murano,good,6 cylinders,gas,171687.0,clean,automatic,4wd,full-size,SUV,grey,32825.0,23.0,4.1 / 5,2020.0
30500.0,2017.0,lincoln,continental,excellent,6 cylinders,gas,47500.0,lien,automatic,4wd,full-size,sedan,blue,47300.0,20.0,3.7 / 5,2020.0
1000.0,2019.0,kia,optima,like new,4 cylinders,gas,36300.0,clean,automatic,fwd,full-size,sedan,white,24355.0,27.0,4.4 / 5,2020.0
