price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb,year_difference,new_price,depreciation,depreciation per year
8995.0,2011,acura,rdx,good,8,gas,162050.0,clean,automatic,4wd,full-size,SUV,black,39225.0,Low mpg (20 - 30),4.0,2021,10,32178.162,0.7204625919901826,0.1196730581080343
12000.0,1995,ford,mustang,excellent,8,gas,125000.0,rebuilt,manual,rwd,mid-size,coupe,grey,27765.0,Low mpg (20 - 30),4.6,2020,25,16923.625,0.2909320550413992,0.013658028072596973
8900.0,2013,ford,fusion,excellent,4,gas,63000.0,clean,automatic,fwd,full-size,sedan,grey,24365.0,Low mpg (20 - 30),4.1,2020,7,21211.199,0.5804103294679381,0.11668048182755753
9997.0,2014,chevrolet,cruze,excellent,4,gas,54982.0,clean,automatic,fwd,mid-size,sedan,red,18870.0,Medium mpg (30 - 40),4.2,2019,5,17091.14,0.4150770516185579,0.10170344926032904
3500.0,2008,nissan,sentra,good,4,gas,192107.0,clean,automatic,fwd,compact,sedan,grey,20235.0,Medium mpg (30 - 40),4.6,2020,12,15955.159,0.7806352164838971,0.1187538303775042
3995.0,2005,buick,lacrosse,excellent,6,gas,138018.0,clean,automatic,rwd,full-size,sedan,silver,30495.0,Low mpg (20 - 30),3.9,2019,14,23111.399,0.827141576327768,0.11783601202010674
3500.0,2001,honda,civic,good,4,gas,125805.0,clean,automatic,fwd,compact,coupe,red,22005.0,Medium mpg (30 - 40),4.6,2021,20,14808.734,0.7636529901880876,0.06958328138961112
7500.0,2012,dodge,charger,good,8,gas,112000.0,salvage,automatic,rwd,full-size,sedan,grey,31490.0,Low mpg (20 - 30),3.6,2021,9,26349.423,0.7153637861443873,0.13030780476819703
5495.0,2008,honda,civic,good,4,gas,93200.0,clean,automatic,fwd,compact,coupe,blue,22005.0,Medium mpg (30 - 40),4.6,2021,13,17010.581,0.6769657661898791,0.0832521746658168
2500.0,2001,subaru,forester,good,4,gas,163354.0,clean,automatic,4wd,mid-size,hatchback,grey,25845.0,Low mpg (20 - 30),4.0,2021,20,17392.944,0.8562635514723672,0.09243373274729993
10400.0,2013,ford,fusion,like new,4,gas,48454.0,clean,automatic,fwd,full-size,sedan,white,24365.0,Low mpg (20 - 30),4.1,2020,7,21211.199,0.5096929692659052,0.09680575823562432
31999.0,1967,chevrolet,malibu,like new,8,gas,11209.0,clean,automatic,rwd,full-size,coupe,blue,22970.0,Medium mpg (30 - 40),4.1,2020,53,8041.775,-2.979096654656466,-0.026400106579450577
9995.0,2008,ford,mustang,excellent,6,gas,109039.0,clean,automatic,rwd,sub-compact,coupe,red,27765.0,Low mpg (20 - 30),4.6,2020,12,21892.513,0.5434512246264283,0.06324950372316751
11000.0,2016,kia,optima,excellent,4,gas,68000.0,clean,automatic,fwd,mid-size,sedan,silver,24355.0,Low mpg (20 - 30),4.4,2020,4,22500.255,0.5111166517890575,0.1638170435562446
